n,t,i,p,u,v
384,2.1000000000000005,3,0.004491668176130005,7.304403473660232e-05,3.146830824054357e-05
385,2.1000000000000005,1,-,-,-
386,2.1000000000000005,2,-,-,-
387,2.1000000000000005,3,0.00468554303610523,7.752297826631959e-05,3.248834875440821e-05
388,2.1500000000000004,1,-,-,-
389,2.1500000000000004,2,-,-,-
390,2.1500000000000004,3,0.004452641373429498,7.369168700781553e-05,3.135667821452907e-05
391,2.1500000000000004,1,-,-,-
392,2.1500000000000004,2,-,-,-
393,2.1500000000000004,3,0.004243317749067119,6.87804966884768e-05,2.9648613613995005e-05
394,2.1500000000000004,1,-,-,-
395,2.1500000000000004,2,-,-,-
396,2.1500000000000004,3,0.0044004759266995765,7.368243635100011e-05,3.265548312647002e-05
397,2.2,1,-,-,-
398,2.2,2,-,-,-
399,2.2,3,0.004154171896828363,7.052375580566895e-05,3.107472166035604e-05
400,2.2,1,-,-,-
401,2.2,2,-,-,-
402,2.2,3,0.003947522176949404,6.827072396533861e-05,3.085644235310164e-05
403,2.2,1,-,-,-
404,2.2,2,-,-,-
405,2.2,3,0.0040807026251482355,7.03256898027574e-05,3.133299555356843e-05
406,2.25,1,-,-,-
407,2.25,2,-,-,-
408,2.25,3,0.003848477491507918,6.681924281967223e-05,3.059133062858972e-05
409,2.25,1,-,-,-
410,2.25,2,-,-,-
411,2.25,3,0.0036599977559091993,6.283458226218571e-05,3.2469535982772024e-05
412,2.25,1,-,-,-
413,2.25,2,-,-,-
414,2.25,3,0.003785751567477018,6.53759421030349e-05,2.9279993456433114e-05
415,2.3,1,-,-,-
416,2.3,2,-,-,-
417,2.3,3,0.00358576404302145,6.376025153351969e-05,2.7815819527899323e-05
418,2.3,1,-,-,-
419,2.3,2,-,-,-
420,2.3,3,0.0034237810787527286,5.963325023443455e-05,3.65812168962257e-05
421,2.3,1,-,-,-
422,2.3,2,-,-,-
423,2.3,3,0.003547097953684507,6.0188121973488866e-05,2.7066283161329756e-05
424,2.3499999999999996,1,-,-,-
425,2.3499999999999996,2,-,-,-
426,2.3499999999999996,3,0.0033783064496888593,5.6793128183797395e-05,2.604963493699157e-05
427,2.3499999999999996,1,-,-,-
428,2.3499999999999996,2,-,-,-
429,2.3499999999999996,3,0.0032341737463242475,5.313149464726912e-05,2.4970704947593816e-05
430,2.3499999999999996,1,-,-,-
431,2.3499999999999996,2,-,-,-
432,2.3499999999999996,3,0.0033550060879411,5.56111643429871e-05,2.631929624537662e-05
433,2.3999999999999995,1,-,-,-
434,2.3999999999999995,2,-,-,-
435,2.3999999999999995,3,0.0032041497762181864,5.472039040208892e-05,2.6224283018668693e-05
436,2.3999999999999995,1,-,-,-
437,2.3999999999999995,2,-,-,-
438,2.3999999999999995,3,0.0030706047293054305,4.973798449641977e-05,2.4015952990745406e-05
439,2.3999999999999995,1,-,-,-
440,2.3999999999999995,2,-,-,-
441,2.3999999999999995,3,0.0031784205968538415,5.2553269150282604e-05,2.581896336429347e-05
442,2.4499999999999993,1,-,-,-
443,2.4499999999999993,2,-,-,-
444,2.4499999999999993,3,0.0030342538586399055,5.050489397933181e-05,2.4852233738917373e-05
445,2.4499999999999993,1,-,-,-
446,2.4499999999999993,2,-,-,-
447,2.4499999999999993,3,0.002909736063264051,4.795915067532774e-05,2.7762903233593394e-05
448,2.4499999999999993,1,-,-,-
449,2.4499999999999993,2,-,-,-
450,2.4499999999999993,3,0.0030036982712061833,4.978982740287554e-05,2.4174688570234945e-05
451,2.499999999999999,1,-,-,-
452,2.499999999999999,2,-,-,-
453,2.499999999999999,3,0.0028708444147046057,4.961813011974954e-05,2.3303367170448414e-05
454,2.499999999999999,1,-,-,-
455,2.499999999999999,2,-,-,-
456,2.499999999999999,3,0.0027560989591883696,4.519284632311763e-05,2.2613342448462404e-05
457,2.499999999999999,1,-,-,-
458,2.499999999999999,2,-,-,-
459,2.499999999999999,3,0.002845644768570429,4.7502936348869026e-05,2.3212779725314816e-05
460,2.549999999999999,1,-,-,-
461,2.549999999999999,2,-,-,-
462,2.549999999999999,3,0.0027251720545662435,4.6330833613490863e-05,2.4235718644880323e-05
463,2.549999999999999,1,-,-,-
464,2.549999999999999,2,-,-,-
465,2.549999999999999,3,0.002616009299691573,4.328870484472269e-05,2.122350081462348e-05
466,2.549999999999999,1,-,-,-
467,2.549999999999999,2,-,-,-
468,2.549999999999999,3,0.0027018324723351514,4.5538068115071875e-05,2.241478341121463e-05
469,2.5999999999999988,1,-,-,-
470,2.5999999999999988,2,-,-,-
471,2.5999999999999988,3,0.0025820854595277045,4.449038019600765e-05,2.2068741657680365e-05
472,2.5999999999999988,1,-,-,-
473,2.5999999999999988,2,-,-,-
474,2.5999999999999988,3,0.002471676233839092,4.176836119754288e-05,2.0487390399737957e-05
475,2.5999999999999988,1,-,-,-
476,2.5999999999999988,2,-,-,-
477,2.5999999999999988,3,0.0025499040530411383,4.416287541638715e-05,2.2431432783712384e-05
478,2.6499999999999986,1,-,-,-
479,2.6499999999999986,2,-,-,-
480,2.6499999999999986,3,0.002427845848014051,4.2791702701281404e-05,2.1262512244447567e-05
481,2.6499999999999986,1,-,-,-
482,2.6499999999999986,2,-,-,-
483,2.6499999999999986,3,0.00232117895245407,4.0150017144270385e-05,2.0223276399997995e-05
484,2.6499999999999986,1,-,-,-
485,2.6499999999999986,2,-,-,-
486,2.6499999999999986,3,0.0023965943658502595,4.3541403635747935e-05,2.1110595533715593e-05
487,2.6999999999999984,1,-,-,-
488,2.6999999999999984,2,-,-,-
489,2.6999999999999984,3,0.0022916610686533937,4.0577328353266704e-05,2.03989724416654e-05
490,2.6999999999999984,1,-,-,-
491,2.6999999999999984,2,-,-,-
492,2.6999999999999984,3,0.0022049797475153002,3.7907594165895604e-05,2.022272967736865e-05
493,2.6999999999999984,1,-,-,-
494,2.6999999999999984,2,-,-,-
495,2.6999999999999984,3,0.0022901309772573363,3.987818962391586e-05,1.980772970785966e-05
496,2.7499999999999982,1,-,-,-
497,2.7499999999999982,2,-,-,-
498,2.7499999999999982,3,0.002220062372247326,3.8121496484613326e-05,1.889921054117423e-05
499,2.7499999999999982,1,-,-,-
500,2.7499999999999982,2,-,-,-
501,2.7499999999999982,3,0.0021597259631398785,3.86509315531544e-05,2.2061168855946313e-05
502,2.7499999999999982,1,-,-,-
503,2.7499999999999982,2,-,-,-
